/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
P0-null 1 2.389517068862915 17.787540197372437
P0-null 25 2.2047665119171143 4.435338497161865
P0-null 50 1.890634298324585 4.431913614273071
P0-null 75 2.0742969512939453 4.467608690261841
P0-null 100 2.2830963134765625 4.495687246322632
P0-null 125 1.9772793054580688 20.244422912597656
P0-null 150 2.25095272064209 20.080297708511353
P0-null 175 2.0342161655426025 20.004084825515747
P0-null 200 1.969614863395691 19.99826145172119
P0-null 225 2.3157317638397217 20.05155658721924
P0-null 250 2.4208741188049316 20.070594787597656
P0-null 275 2.2184653282165527 20.117727994918823
P0-null 300 1.9916020631790161 20.028319358825684
P0-null 325 2.2046937942504883 20.203120708465576
P0-null 350 2.406932830810547 20.04868173599243
P0-null 375 1.9856632947921753 20.03955388069153
P0-null 400 2.234182357788086 20.271072149276733
P0-null 425 2.100987672805786 20.184431791305542
P0-null 450 2.1963412761688232 20.174250602722168
P0-null 475 2.0530595779418945 20.05328917503357
P0-null 500 2.1105833053588867 20.322283029556274
/home/zhengshiyi/react2025_new/.venv/lib/python3.10/site-packages/torch/_utils.py:831: UserWarning: TypedStorage is deprecated. It will be removed in the future and UntypedStorage will be the only storage class. This should only matter to you if you are using storages directly.  To access UntypedStorage directly, use tensor.untyped_storage() instead of tensor.storage()
  return self.fget.__get__(instance, owner)()
P0-null 501 2.221419334411621 20.481256246566772
P0-null 525 2.2832870483398438 20.097628355026245
P0-null 550 2.2386879920959473 20.091644763946533
P0-null 575 2.2832303047180176 20.09930181503296
P0-null 600 2.0728039741516113 32.790504455566406
P0-null 625 1.9711852073669434 19.8546085357666
P0-null 650 1.8938677310943604 20.025847673416138
P0-null 675 2.271467924118042 20.029563426971436
P0-null 700 2.2088732719421387 20.056596040725708
P0-null 725 1.9348841905593872 20.11987280845642
P0-null 750 2.0566418170928955 20.005118370056152
P0-null 775 2.551891803741455 20.115382432937622
P0-null 800 1.922503113746643 20.166157007217407
P0-null 825 2.1606197357177734 20.066901922225952
P0-null 850 2.365499973297119 20.040380001068115
P0-null 875 1.9961882829666138 20.12475609779358
P0-null 900 2.122647285461426 20.0586998462677
P0-null 925 1.8254444599151611 20.02767825126648
P0-null 950 2.3228068351745605 20.048317909240723
P0-null 975 2.252377986907959 20.06815242767334
